,previous_room,current_room,"(1, 1)","(1, 0)","(0, 1)","(0, 0)"
156,r17,r19,0.613861386,0.386138614,0.523331364,0.476668636
157,r11,r20,0.102527076,0.897472924,0.225615764,0.774384236
158,r15,r20,0.200276243,0.799723757,0.085084034,0.914915966
159,o1,r20,0.144283122,0.855716878,0.163328197,0.836671803
160,r16,r20,0.048698573,0.951301427,0.258891646,0.741108354
161,c3,r20,0.179437439,0.820562561,0.135865595,0.864134405
162,r21,r20,0.135135135,0.864864865,0.158128079,0.841871921
163,r18,r20,0.162368672,0.837631328,0.148558758,0.851441242
164,r6,r20,0.250666667,0.749333333,0.136790123,0.863209877
165,r5,r20,0.093655589,0.906344411,0.164330594,0.835669406
166,r10,r20,0.136202532,0.863797468,0.24,0.76
167,r17,r20,0.234794908,0.765205092,0.121086828,0.878913172
168,r19,r20,0.078787879,0.921212121,0.247222222,0.752777778
169,r11,r21,0.192779783,0.807220217,0.101477833,0.898522167
170,r15,r21,0.205801105,0.794198895,0.075630252,0.924369748
171,o1,r21,0.143375681,0.856624319,0.163328197,0.836671803
172,r16,r21,0.143576826,0.856423174,0.164598842,0.835401158
173,c3,r21,0.140640155,0.859359845,0.164353543,0.835646457
174,r18,r21,0.168099331,0.831900669,0.14338507,0.85661493
175,r6,r21,0.149333333,0.850666667,0.155061728,0.844938272
176,r5,r21,0.16918429,0.83081571,0.151764137,0.848235863
177,r10,r21,0.176202532,0.823797468,0.051764706,0.948235294
178,r20,r21,0.134770889,0.865229111,0.157713159,0.842286841
179,r17,r21,0.028288543,0.971711457,0.206733609,0.793266391
180,r19,r21,0.156060606,0.843939394,0.151851852,0.848148148
181,c1,r22,0.119360366,0.880639634,0.144838213,0.855161787
182,r26,r22,0.053968254,0.946031746,0.137170264,0.862829736
183,r25,r22,0.102683781,0.897316219,0.13933895,0.86066105
184,outside,r22,0.092436975,0.907563025,0.128014029,0.871985971
185,r12,r22,0.106145251,0.893854749,0.127870329,0.872129671
186,r13,r23,0.209022556,0.790977444,0.045533141,0.954466859
187,r24,r23,0.210084034,0.789915966,0.084612012,0.915387988
188,r14,r23,0.055447471,0.944552529,0.117346939,0.882653061
189,r13,r24,0.079699248,0.920300752,0.038040346,0.961959654
190,r14,r24,0.06614786,0.93385214,0.037172012,0.962827988
191,r23,r24,0.114678899,0.885321101,0.043079743,0.956920257
192,r9,r24,0.04657933,0.95342067,0.050788091,0.949211909
193,c1,r25,0.365505425,0.634494575,0.334360555,0.665639445
194,r26,r25,0.349206349,0.650793651,0.358273381,0.641726619
195,r7,r25,0.382955771,0.617044229,0.269230769,0.730769231
196,c2,r25,0.388930441,0.611069559,0.317027281,0.682972719
197,r22,r25,0.299342105,0.700657895,0.365458015,0.634541985
198,r27,r25,0.323076923,0.676923077,0.371513353,0.628486647
