,room,censor,"(1, 1)","(1, 0)","(0, 1)","(0, 0)"
0,r1,unreliable_sensor3,0.9515062454077884,0.048493754592211606,0.14038461538461539,0.8596153846153847
1,r2,unreliable_sensor3,0.5446153846153846,0.4553846153846154,0.6088631984585742,0.3911368015414258
2,r3,unreliable_sensor3,0.5693160813308688,0.43068391866913125,0.6254738438210766,0.37452615617892343
3,r4,unreliable_sensor3,0.7113997113997114,0.2886002886002886,0.5550351288056206,0.4449648711943794
4,r5,unreliable_sensor2,0.5015105740181269,0.4984894259818731,0.47198067632850244,0.5280193236714976
5,r5,reliable_sensor1,0.5740181268882175,0.4259818731117825,0.48985507246376814,0.5101449275362319
6,r5,reliable_sensor2,0.9577039274924471,0.04229607250755287,0.03671497584541063,0.9632850241545894
7,r5,unreliable_sensor1,0.4380664652567976,0.5619335347432024,0.5164251207729469,0.48357487922705317
8,r6,unreliable_sensor2,0.504,0.496,0.47087857847976305,0.5291214215202369
9,r6,reliable_sensor2,0.13866666666666666,0.8613333333333333,0.16831194471865746,0.8316880552813426
10,r6,reliable_sensor1,0.2986666666666667,0.7013333333333334,0.5389930898321816,0.46100691016781836
11,r6,unreliable_sensor1,0.6613333333333333,0.33866666666666667,0.4768015794669299,0.5231984205330701
12,r7,unreliable_sensor3,0.6353829557713053,0.36461704422869473,0.48080438756855576,0.5191956124314442
13,r7,reliable_sensor3,0.3883495145631068,0.6116504854368932,0.27787934186471663,0.7221206581352834
14,r8,reliable_sensor2,0.1935483870967742,0.8064516129032258,0.1616206589492431,0.838379341050757
15,r9,unreliable_sensor2,0.413391557496361,0.586608442503639,0.5011668611435239,0.49883313885647607
16,r9,unreliable_sensor4,0.1717612809315866,0.8282387190684134,0.18728121353558927,0.8127187864644108
17,r9,reliable_sensor2,0.17467248908296942,0.8253275109170306,0.15927654609101516,0.8407234539089848
18,r10,unreliable_sensor2,0.4627848101265823,0.5372151898734178,0.5375586854460094,0.4624413145539906
19,r10,reliable_sensor2,0.18025316455696203,0.819746835443038,0.08685446009389672,0.9131455399061033
20,r10,reliable_sensor1,0.5508860759493671,0.4491139240506329,0.27230046948356806,0.7276995305164319
21,r10,unreliable_sensor1,0.5255696202531646,0.47443037974683544,0.4131455399061033,0.5868544600938967
22,r11,unreliable_sensor2,0.46498194945848376,0.5350180505415163,0.4911417322834646,0.5088582677165354
23,r11,reliable_sensor2,0.19422382671480146,0.8057761732851986,0.1220472440944882,0.8779527559055118
24,r11,reliable_sensor1,0.5472924187725632,0.4527075812274368,0.4389763779527559,0.5610236220472441
25,r11,unreliable_sensor1,0.5097472924187726,0.4902527075812274,0.5,0.5
26,r12,reliable_sensor3,0.441340782122905,0.5586592178770949,0.3568856885688569,0.6431143114311431
27,r13,unreliable_sensor4,0.16842105263157894,0.8315789473684211,0.18836405529953917,0.8116359447004609
28,r13,reliable_sensor2,0.15639097744360902,0.843609022556391,0.16647465437788017,0.8335253456221198
29,r14,unreliable_sensor4,0.1916342412451362,0.8083657587548638,0.17625637290604515,0.8237436270939549
30,r15,unreliable_sensor2,0.47306629834254144,0.5269337016574586,0.4805876180482686,0.5194123819517313
31,r15,reliable_sensor2,0.18093922651933703,0.819060773480663,0.13746065057712487,0.8625393494228751
32,r15,reliable_sensor1,0.44751381215469616,0.5524861878453039,0.583420776495278,0.41657922350472193
33,r15,unreliable_sensor1,0.5497237569060773,0.45027624309392267,0.4386149003147954,0.5613850996852047
34,r16,unreliable_sensor2,0.4534005037783375,0.5465994962216625,0.4983471074380165,0.5016528925619834
35,r16,reliable_sensor2,0.18303946263643997,0.81696053736356,0.1446280991735537,0.8553719008264463
36,r16,reliable_sensor1,0.984047019311503,0.01595298068849706,0.026446280991735537,0.9735537190082645
37,r16,unreliable_sensor1,0.5188916876574308,0.4811083123425693,0.4925619834710744,0.5074380165289256
38,r17,unreliable_sensor2,0.4752475247524752,0.5247524752475248,0.47638724911452185,0.5236127508854782
39,r17,reliable_sensor2,0.14285714285714285,0.8571428571428571,0.17237308146399055,0.8276269185360094
40,r17,reliable_sensor1,0.5912305516265912,0.4087694483734088,0.4639905548996458,0.5360094451003542
41,r17,unreliable_sensor1,0.5106082036775106,0.4893917963224894,0.5035419126328218,0.4964580873671783
42,r18,unreliable_sensor2,0.498567335243553,0.501432664756447,0.4586410635155096,0.5413589364844904
43,r18,reliable_sensor2,0.15759312320916904,0.8424068767908309,0.16838995568685378,0.8316100443131462
44,r18,reliable_sensor1,0.46131805157593125,0.5386819484240688,0.5324963072378139,0.4675036927621861
45,r18,unreliable_sensor1,0.3982808022922636,0.6017191977077364,0.5886262924667651,0.4113737075332349
46,r19,unreliable_sensor2,0.4765151515151515,0.5234848484848484,0.47548566142460685,0.5245143385753932
47,r19,reliable_sensor2,0.17954545454545454,0.8204545454545454,0.14431082331174838,0.8556891766882516
48,r19,reliable_sensor1,0.6530303030303031,0.346969696969697,0.31637372802960223,0.6836262719703978
49,r19,unreliable_sensor1,0.4871212121212121,0.5128787878787879,0.5282146160962072,0.47178538390379277
50,r20,unreliable_sensor2,0.5309973045822103,0.46900269541778977,0.4660098522167488,0.5339901477832513
51,r20,reliable_sensor2,0.11320754716981132,0.8867924528301887,0.1729064039408867,0.8270935960591133
52,r20,reliable_sensor1,0.18328840970350405,0.816711590296496,0.5596059113300492,0.4403940886699507
53,r20,unreliable_sensor1,0.48787061994609165,0.5121293800539084,0.5088669950738917,0.4911330049261084
54,r21,unreliable_sensor2,0.4243243243243243,0.5756756756756757,0.4854751354012802,0.5145248645987198
55,r21,reliable_sensor2,0.15405405405405406,0.845945945945946,0.1654357459379616,0.8345642540620384
56,r21,reliable_sensor1,0.4486486486486487,0.5513513513513514,0.5110782865583456,0.48892171344165436
57,r21,unreliable_sensor1,0.47297297297297297,0.527027027027027,0.5115706548498277,0.48842934515017233
58,r22,reliable_sensor3,0.2894736842105263,0.7105263157894737,0.37386742966142106,0.6261325703385789
59,r23,unreliable_sensor4,0.17889908256880735,0.8211009174311926,0.1832340815391663,0.8167659184608337
60,r24,unreliable_sensor4,0.9327731092436975,0.06722689075630252,0.1437335670464505,0.8562664329535495
61,r25,reliable_sensor3,0.9568261376896149,0.043173862310385065,0.03367875647668394,0.966321243523316
62,r26,reliable_sensor3,0.2634920634920635,0.7365079365079366,0.3782358581016299,0.62176414189837
63,r27,reliable_sensor4,0.3174825174825175,0.6825174825174826,0.5824436536180309,0.41755634638196915
64,r27,reliable_sensor3,0.3356643356643357,0.6643356643356644,0.3748517200474496,0.6251482799525504
65,r28,unreliable_sensor1,0.7291666666666666,0.2708333333333333,0.501062473438164,0.49893752656183593
66,r29,unreliable_sensor1,0.3918918918918919,0.6081081081081081,0.5092393639879673,0.4907606360120327
67,r31,reliable_sensor4,0.9806234203875316,0.019376579612468407,0.03706754530477759,0.9629324546952224
